Id CCAA,CCAA,Id Provincia,Provincia,País,Titularidad,Sexo,Total,Infantil ciclo 1,Infantil ciclo 2,Primaria,Ed Especial,ESO,Bachillerato,Bachillerato a distancia,FP Básica,FP Medio,FP Superior,FP Medio a distancia,FP Superior a distancia,Otros
CA10,Comunitat Valenciana,PR12,Castellón,España,Pública,Mujeres,37.546,1.095,6.086,13.802,169,9.366,3.251,0,430,1.675,1.635,0,0,37
CA10,Comunitat Valenciana,PR46,Valencia,España,Pública,Mujeres,132.210,5.433,19.609,46.191,587,31.816,11.365,337,1.367,6.237,8.796,0,419,53
CA11,Extremadura,PR06,Badajoz,España,Pública,Mujeres,44.595,2.084,6.954,15.930,73,10.694,4.684,102,363,1.781,1.632,34,237,27
CA11,Extremadura,PR10,Cáceres,España,Pública,Mujeres,23.492,1.254,3.294,7.416,40,5.466,2.569,95,272,1.122,1.255,166,530,13
CA12,Galicia,PR15,A Coruña,España,Pública,Mujeres,61.348,3.461,8.932,20.003,68,13.673,6.128,934,434,2.429,3.953,608,660,65
CA12,Galicia,PR27,Lugo,España,Pública,Mujeres,15.763,802,2.338,4.989,23,3.424,1.603,183,131,780,889,350,240,11
CA12,Galicia,PR32,Ourense,España,Pública,Mujeres,12.638,523,1.772,4.062,25,2.811,1.373,111,133,634,733,164,296,1
CA12,Galicia,PR36,Pontevedra,España,Pública,Mujeres,51.008,2.374,7.072,16.903,41,12.144,5.763,315,455,2.101,2.795,366,651,28
CA13,Comunidad de Madrid,PR28,Madrid,España,Pública,Mujeres,321.144,20.731,51.784,113.137,1.153,73.012,32.247,2.031,2.434,8.876,12.912,870,1.665,292
CA14,Región de Murcia,PR30,Murcia,España,Pública,Mujeres,97.863,2.160,15.357,35.306,378,24.105,10.698,757,1.190,2.983,4.023,289,536,81
CA15,Comunidad Foral de Navarra,PR31,Navarra,España,Pública,Mujeres,36.856,2.086,5.973,13.617,172,8.241,3.363,121,211,1.205,1.260,71,474,62
CA16,País Vasco,PR01,Álava,España,Pública,Mujeres,16.326,1.378,2.754,6.153,62,3.205,1.116,243,72,615,728,0,0,0
CA16,País Vasco,PR20,Gipuzkoa,España,Pública,Mujeres,31.256,2.374,4.704,10.762,79,7.018,3.052,0,67,1.015,1.656,246,283,0
CA16,País Vasco,PR48,Bizkaia,España,Pública,Mujeres,42.516,3.142,6.924,15.509,136,9.234,4.162,0,280,1.242,1.887,0,0,0
CA17,La Rioja,PR26,La Rioja,España,Pública,Mujeres,17.694,796,2.703,6.190,46,3.903,1.609,94,190,728,797,97,530,11
CA18,Ceuta,PR51,Ceuta,España,Pública,Mujeres,7.977,134,1.173,2.755,50,1.783,643,74,149,512,437,97,165,5
CA19,Melilla,PR52,Melilla,España,Pública,Mujeres,8.741,269,1.448,2.997,41,2.073,765,69,165,328,415,0,167,4
CA01,Andalucía,PR04,Almería,España,Pública,Hombres,59.124,2.377,10.647,22.765,627,15.089,3.334,795,699,2.178,1.786,77,1.098,29
CA01,Andalucía,PR11,Cádiz,España,Pública,Hombres,89.241,2.456,13.868,32.437,463,24.595,7.135,1.207,1.157,4.444,3.784,0,108,43
CA01,Andalucía,PR14,Córdoba,España,Pública,Hombres,50.337,1.685,7.689,18.401,312,13.160,4.166,573,946,2.430,2.247,32,361,20
CA01,Andalucía,PR18,Granada,España,Pública,Hombres,59.098,2.777,9.725,21.436,354,15.315,4.796,632,884,2.788,2.964,0,186,18
CA01,Andalucía,PR21,Huelva,España,Pública,Hombres,39.730,2.161,6.464,15.425,205,10.489,2.672,385,664,1.757,1.607,30,23,9
CA01,Andalucía,PR23,Jaén,España,Pública,Hombres,40.237,1.721,6.168,14.358,191,10.783,3.540,459,622,2.126,1.852,76,45,17
CA01,Andalucía,PR29,Málaga,España,Pública,Hombres,109.820,2.883,18.537,42.548,569,29.601,8.723,770,1.346,4.161,3.393,17,81,74
CA01,Andalucía,PR41,Sevilla,España,Pública,Hombres,142.224,4.683,22.924,53.790,794,38.080,10.398,1.671,1.487,5.961,6.160,102,821,36
CA02,Aragón,PR22,Huesca,España,Pública,Hombres,13.707,948,2.332,5.185,47,3.287,994,35,261,730,678,99,4,55
CA02,Aragón,PR44,Teruel,España,Pública,Hombres,9.137,409,1.482,3.324,71,2.067,533,24,285,664,520,99,55,13
CA02,Aragón,PR50,Zaragoza,España,Pública,Hombres,52.804,2.338,8.888,19.910,239,12.347,3.793,325,789,2.335,3.134,355,492,197
CA03,Principado de Asturias,PR33,Asturias,España,Pública,Hombres,49.478,1.917,7.051,17.362,200,11.842,4.653,243,407,2.671,3.555,488,1.000,6
CA04,Illes Balears,PR07,Baleares,España,Pública,Hombres,62.747,2.921,10.916,24.428,196,15.602,3.635,414,1.233,3.455,2.270,287,253,58
CA05,Canarias,PR35,Las Palmas,España,Pública,Hombres,71.908,1.235,10.117,24.217,633,19.600,6.280,907,1.444,3.751,3.620,346,850,143
CA05,Canarias,PR38,Santa Cruz de Tenerife,España,Pública,Hombres,61.054,1.220,8.370,20.180,452,15.523,5.712,1.069,1.048,3.307,3.593,616,1.070,114
CA06,Cantabria,PR39,Cantabria,España,Pública,Hombres,33.090,1.525,4.816,11.667,94,7.837,2.870,256,421,1.872,2.055,411,729,62
CA07,Castilla y León,PR05,Ávila,España,Pública,Hombres,8.765,309,1.391,3.377,50,2.101,617,44,286,478,363,9,49,0
CA07,Castilla y León,PR09,Burgos,España,Pública,Hombres,16.764,449,2.660,6.500,66,4.010,1.420,48,289,703,899,130,39,0
CA07,Castilla y León,PR24,León,España,Pública,Hombres,20.604,479,3.079,7.083,106,4.731,2.046,121,333,1.028,1.792,178,107,0
CA07,Castilla y León,PR34,Palencia,España,Pública,Hombres,7.493,330,1.241,2.647,34,1.619,676,35,149,437,485,17,153,0
CA07,Castilla y León,PR37,Salamanca,España,Pública,Hombres,14.752,538,2.135,5.080,55,3.483,1.517,140,238,888,1.114,89,13,0
CA07,Castilla y León,PR40,Segovia,España,Pública,Hombres,10.371,169,1.643,3.743,35,2.488,873,96,195,509,613,102,74,0
CA07,Castilla y León,PR42,Soria,España,Pública,Hombres,5.489,275,865,1.862,28,1.362,484,30,92,333,375,11,47,0
CA07,Castilla y León,PR47,Valladolid,España,Pública,Hombres,25.301,1.066,3.915,9.414,93,6.181,2.148,287,336,1.204,1.478,25,220,0
CA07,Castilla y León,PR49,Zamora,España,Pública,Hombres,7.550,247,1.071,2.509,62,1.839,796,37,159,514,538,17,8,0
CA08,Castilla-La Mancha,PR02,Albacete,España,Pública,Hombres,27.810,1.229,4.238,9.915,110,7.117,2.364,120,570,1.381,1.530,91,353,21
CA08,Castilla-La Mancha,PR13,Ciudad Real,España,Pública,Hombres,33.750,1.539,5.339,12.512,142,8.353,2.748,103,679,1.574,1.717,182,379,22
CA08,Castilla-La Mancha,PR16,Cuenca,España,Pública,Hombres,13.069,556,2.095,4.893,47,3.338,980,20,293,680,618,37,62,6
CA08,Castilla-La Mancha,PR19,Guadalajara,España,Pública,Hombres,19.945,659,3.255,7.514,65,4.951,1.377,99,400,892,837,118,425,12
CA08,Castilla-La Mancha,PR45,Toledo,España,Pública,Hombres,51.586,2.221,8.663,20.111,213,12.957,3.527,108,1.137,2.057,2.126,368,295,24
CA09,Cataluña,PR08,Barcelona,España,Pública,Hombres,302.390,17.804,51.251,114.605,1.232,75.658,19.101,104,0,18.248,16.220,1.044,2.310,2.617
CA09,Cataluña,PR17,Girona,España,Pública,Hombres,53.752,3.323,9.421,21.032,315,13.826,3.146,0,0,3.502,2.128,0,0,382
CA09,Cataluña,PR25,Lleida,España,Pública,Hombres,28.708,1.802,4.819,10.994,60,6.925,1.692,0,0,2.364,1.546,0,0,308
CA09,Cataluña,PR43,Tarragona,España,Pública,Hombres,58.078,2.793,9.282,21.342,133,14.720,3.474,0,0,4.697,3.781,0,0,649
CA10,Comunitat Valenciana,PR03,Alicante,España,Pública,Hombres,120.502,3.447,19.404,44.449,955,30.447,8.421,0,2.985,6.980,6.611,0,0,250
CA10,Comunitat Valenciana,PR12,Castellón,España,Pública,Hombres,39.783,1.166,6.429,15.240,328,9.772,2.570,0,1.026,2.263,2.061,0,0,94
CA10,Comunitat Valenciana,PR46,Valencia,España,Pública,Hombres,138.011,5.732,21.052,50.340,1.126,33.592,8.581,386,3.279,9.249,9.979,0,289,138
CA11,Extremadura,PR06,Badajoz,España,Pública,Hombres,45.306,2.246,7.422,17.195,126,10.896,3.742,124,944,2.139,1.993,202,485,38
CA11,Extremadura,PR10,Cáceres,España,Pública,Hombres,23.502,1.300,3.538,8.106,84,5.742,2.171,105,612,1.354,1.439,168,164,19
CA12,Galicia,PR15,A Coruña,España,Pública,Hombres,63.381,3.760,9.468,21.591,118,14.252,5.249,903,1.273,4.123,4.881,486,923,114
CA12,Galicia,PR27,Lugo,España,Pública,Hombres,15.767,780,2.444,5.225,34,3.606,1.324,185,385,1.103,1.225,46,171,19
CA12,Galicia,PR32,Ourense,España,Pública,Hombres,12.675,615,1.966,4.412,67,2.760,1.094,121,319,847,921,45,120,3
CA12,Galicia,PR36,Pontevedra,España,Pública,Hombres,52.954,2.704,7.713,18.385,104,12.556,4.860,329,1.141,3.391,3.774,177,463,61
