Id CCAA,CCAA,Id Provincia,Provincia,País,Titularidad,Sexo,Total,Infantil ciclo 1,Infantil ciclo 2,Primaria,Ed Especial,ESO,Bachillerato,Bachillerato a distancia,FP Básica,FP Medio,FP Superior,FP Medio a distancia,FP Superior a distancia,Otros
CA08,Castilla-La Mancha,PR16,Cuenca,España,Privada,Hombres,1.608,160,278,629,11,444,57,0,11,9,9,0,0,0
CA08,Castilla-La Mancha,PR19,Guadalajara,España,Privada,Hombres,4.607,530,611,1.531,13,1.365,386,0,54,50,67,0,0,0
CA08,Castilla-La Mancha,PR45,Toledo,España,Privada,Hombres,14.579,1.052,2.297,5.294,113,3.693,639,0,114,541,301,431,104,0
CA09,Cataluña,PR08,Barcelona,España,Privada,Hombres,201.177,12.471,29.324,66.849,1.896,51.313,13.793,0,0,9.599,11.748,508,2.505,1.171
CA09,Cataluña,PR17,Girona,España,Privada,Hombres,13.993,736,2.227,5.177,124,3.822,606,0,0,483,637,0,7,174
CA09,Cataluña,PR25,Lleida,España,Privada,Hombres,12.360,577,1.432,3.259,75,2.464,484,0,0,656,711,691,1.914,97
CA09,Cataluña,PR43,Tarragona,España,Privada,Hombres,16.029,1.129,2.759,6.222,210,4.430,679,0,0,303,200,0,0,97
CA10,Comunitat Valenciana,PR03,Alicante,España,Privada,Hombres,39.278,3.248,6.065,14.569,171,10.434,2.247,0,312,1.563,669,0,0,0
CA10,Comunitat Valenciana,PR12,Castellón,España,Privada,Hombres,11.489,1.280,1.779,3.958,34,3.035,590,0,27,465,321,0,0,0
CA10,Comunitat Valenciana,PR46,Valencia,España,Privada,Hombres,94.572,9.038,13.845,32.790,355,23.779,5.541,0,572,4.025,4.627,0,0,0
CA11,Extremadura,PR06,Badajoz,España,Privada,Hombres,11.264,242,1.770,4.066,213,3.334,745,0,19,382,438,0,0,55
CA11,Extremadura,PR10,Cáceres,España,Privada,Hombres,6.428,183,1.063,2.746,0,1.906,309,0,0,98,114,0,0,9
CA12,Galicia,PR15,A Coruña,España,Privada,Hombres,23.171,2.246,3.701,8.405,187,5.716,1.369,0,158,510,833,0,46,0
CA12,Galicia,PR27,Lugo,España,Privada,Hombres,4.432,374,866,1.812,11,1.135,157,0,0,21,56,0,0,0
CA12,Galicia,PR32,Ourense,España,Privada,Hombres,5.928,428,983,2.211,28,1.712,301,0,115,94,27,29,0,0
CA12,Galicia,PR36,Pontevedra,España,Privada,Hombres,23.883,2.432,3.617,8.352,175,6.016,926,0,252,1.053,1.022,0,38,0
CA13,Comunidad de Madrid,PR28,Madrid,España,Privada,Hombres,288.435,25.643,44.924,99.620,1.558,69.369,22.160,0,2.770,8.938,10.078,878,2.287,210
CA14,Región de Murcia,PR30,Murcia,España,Privada,Hombres,46.130,2.481,8.229,17.169,361,11.851,1.889,0,514,1.267,1.339,515,316,199
CA15,Comunidad Foral de Navarra,PR31,Navarra,España,Privada,Hombres,20.793,428,3.445,7.540,182,5.680,1.699,0,295,600,786,0,39,99
CA16,País Vasco,PR01,Álava,España,Privada,Hombres,13.506,777,1.964,4.296,43,3.493,1.115,0,265,547,1.006,0,0,0
CA16,País Vasco,PR20,Gipuzkoa,España,Privada,Hombres,32.283,2.170,4.722,10.935,173,7.905,2.675,0,712,1.034,1.957,0,0,0
CA16,País Vasco,PR48,Bizkaia,España,Privada,Hombres,50.775,3.534,7.278,16.803,268,12.347,3.995,0,1.534,1.960,3.056,0,0,0
CA17,La Rioja,PR26,La Rioja,España,Privada,Hombres,10.071,890,1.570,3.520,42,2.642,432,0,292,398,280,0,0,5
CA18,Ceuta,PR51,Ceuta,España,Privada,Hombres,2.023,102,390,840,0,544,40,0,25,0,0,0,0,82
CA19,Melilla,PR52,Melilla,España,Privada,Hombres,1.823,251,443,813,0,222,20,0,0,0,0,0,0,74
