Id CCAA;CCAA;Id Provincia;Provincia;Edad;Titularidad;Alumnos
CA13;Madrid, Comunidad de;PR28;Madrid;0;Privada;6.418
CA14;Murcia, Región de;PR30;Murcia;0;Privada;494
CA15;Navarra, Comunidad Foral de;PR31;Navarra;0;Privada;46
CA16;País Vasco;PR01;Álava;0;Privada;99
CA16;País Vasco;PR20;Gipuzkoa;0;Privada;514
CA16;País Vasco;PR48;Bizkaia;0;Privada;799
CA17;Rioja, La;PR26;La Rioja;0;Privada;177
CA18;Ceuta;PR51;Ceuta;0;Privada;8
CA19;Melilla;PR52;Melilla;0;Privada;13
CA01;Andalucía;PR04;Almería;1;Pública;1.814
CA01;Andalucía;PR11;Cádiz;1;Pública;1.533
CA01;Andalucía;PR14;Córdoba;1;Pública;1.194
CA01;Andalucía;PR18;Granada;1;Pública;1.921
CA01;Andalucía;PR21;Huelva;1;Pública;1.549
CA01;Andalucía;PR23;Jaén;1;Pública;1.266
CA01;Andalucía;PR29;Málaga;1;Pública;2.029
CA01;Andalucía;PR41;Sevilla;1;Pública;3.386
CA02;Aragón;PR22;Huesca;1;Pública;626
CA02;Aragón;PR44;Teruel;1;Pública;299
CA02;Aragón;PR50;Zaragoza;1;Pública;1.507
CA03;Asturias, Principado de;PR33;Asturias;1;Pública;1.280
CA04;Balears, Illes;PR07;Baleares;1;Pública;2.074
CA05;Canarias;PR35;Las Palmas;1;Pública;865
CA05;Canarias;PR38;Santa Cruz de Tenerife;1;Pública;783
CA06;Cantabria;PR39;Cantabria;1;Pública;99
CA07;Castilla y León;PR05;Ávila;1;Pública;202
CA07;Castilla y León;PR09;Burgos;1;Pública;295
CA07;Castilla y León;PR24;León;1;Pública;339
CA07;Castilla y León;PR34;Palencia;1;Pública;213
CA07;Castilla y León;PR37;Salamanca;1;Pública;391
CA07;Castilla y León;PR40;Segovia;1;Pública;116
CA07;Castilla y León;PR42;Soria;1;Pública;217
CA07;Castilla y León;PR47;Valladolid;1;Pública;816
CA07;Castilla y León;PR49;Zamora;1;Pública;180
CA08;Castilla-La Mancha;PR02;Albacete;1;Pública;888
CA08;Castilla-La Mancha;PR13;Ciudad Real;1;Pública;951
CA08;Castilla-La Mancha;PR16;Cuenca;1;Pública;361
CA08;Castilla-La Mancha;PR19;Guadalajara;1;Pública;469
CA08;Castilla-La Mancha;PR45;Toledo;1;Pública;1.480
CA09;Cataluña;PR08;Barcelona;1;Pública;12.685
CA09;Cataluña;PR17;Girona;1;Pública;2.396
CA09;Cataluña;PR25;Lleida;1;Pública;1.328
CA09;Cataluña;PR43;Tarragona;1;Pública;1.965
CA10;Comunitat Valenciana;PR03;Alicante;1;Pública;1.890
CA10;Comunitat Valenciana;PR12;Castellón;1;Pública;657
CA10;Comunitat Valenciana;PR46;Valencia;1;Pública;3.586
CA11;Extremadura;PR06;Badajoz;1;Pública;1.492
CA11;Extremadura;PR10;Cáceres;1;Pública;925
CA12;Galicia;PR15;A Coruña;1;Pública;2.492
CA12;Galicia;PR27;Lugo;1;Pública;523
CA12;Galicia;PR32;Ourense;1;Pública;402
CA12;Galicia;PR36;Pontevedra;1;Pública;1.740
CA13;Madrid, Comunidad de;PR28;Madrid;1;Pública;15.699
CA14;Murcia, Región de;PR30;Murcia;1;Pública;1.633
CA15;Navarra, Comunidad Foral de;PR31;Navarra;1;Pública;1.682
CA16;País Vasco;PR01;Álava;1;Pública;993
CA16;País Vasco;PR20;Gipuzkoa;1;Pública;1.580
CA16;País Vasco;PR48;Bizkaia;1;Pública;1.787
CA17;Rioja, La;PR26;La Rioja;1;Pública;573
CA18;Ceuta;PR51;Ceuta;1;Pública;52
CA19;Melilla;PR52;Melilla;1;Pública;180
CA01;Andalucía;PR04;Almería;1;Privada;2.348
CA01;Andalucía;PR11;Cádiz;1;Privada;2.295
CA01;Andalucía;PR14;Córdoba;1;Privada;2.349
CA01;Andalucía;PR18;Granada;1;Privada;1.843
CA01;Andalucía;PR21;Huelva;1;Privada;1.253
CA01;Andalucía;PR23;Jaén;1;Privada;1.086
CA01;Andalucía;PR29;Málaga;1;Privada;5.624
CA01;Andalucía;PR41;Sevilla;1;Privada;7.201
CA02;Aragón;PR22;Huesca;1;Privada;232
CA02;Aragón;PR44;Teruel;1;Privada;79
CA02;Aragón;PR50;Zaragoza;1;Privada;1.251
CA03;Asturias, Principado de;PR33;Asturias;1;Privada;163
CA04;Balears, Illes;PR07;Baleares;1;Privada;1.063
CA05;Canarias;PR35;Las Palmas;1;Privada;736
CA05;Canarias;PR38;Santa Cruz de Tenerife;1;Privada;1.272
CA06;Cantabria;PR39;Cantabria;1;Privada;230
CA07;Castilla y León;PR05;Ávila;1;Privada;37
CA07;Castilla y León;PR09;Burgos;1;Privada;167
CA07;Castilla y León;PR24;León;1;Privada;127
CA07;Castilla y León;PR34;Palencia;1;Privada;83
CA07;Castilla y León;PR37;Salamanca;1;Privada;185
CA07;Castilla y León;PR40;Segovia;1;Privada;84
CA07;Castilla y León;PR42;Soria;1;Privada;61
CA07;Castilla y León;PR47;Valladolid;1;Privada;416
CA07;Castilla y León;PR49;Zamora;1;Privada;31
CA08;Castilla-La Mancha;PR02;Albacete;1;Privada;583
CA08;Castilla-La Mancha;PR13;Ciudad Real;1;Privada;443
CA08;Castilla-La Mancha;PR16;Cuenca;1;Privada;93
CA08;Castilla-La Mancha;PR19;Guadalajara;1;Privada;383
CA08;Castilla-La Mancha;PR45;Toledo;1;Privada;683
CA09;Cataluña;PR08;Barcelona;1;Privada;8.553
CA09;Cataluña;PR17;Girona;1;Privada;532
CA09;Cataluña;PR25;Lleida;1;Privada;422
CA09;Cataluña;PR43;Tarragona;1;Privada;772
CA10;Comunitat Valenciana;PR03;Alicante;1;Privada;2.158
CA10;Comunitat Valenciana;PR12;Castellón;1;Privada;960
CA10;Comunitat Valenciana;PR46;Valencia;1;Privada;6.360
CA11;Extremadura;PR06;Badajoz;1;Privada;138
CA11;Extremadura;PR10;Cáceres;1;Privada;126
CA12;Galicia;PR15;A Coruña;1;Privada;1.621
CA12;Galicia;PR27;Lugo;1;Privada;285
CA12;Galicia;PR32;Ourense;1;Privada;314
CA12;Galicia;PR36;Pontevedra;1;Privada;1.630
CA13;Madrid, Comunidad de;PR28;Madrid;1;Privada;17.913
CA14;Murcia, Región de;PR30;Murcia;1;Privada;1.624
CA15;Navarra, Comunidad Foral de;PR31;Navarra;1;Privada;321
CA16;País Vasco;PR01;Álava;1;Privada;338
CA16;País Vasco;PR20;Gipuzkoa;1;Privada;1.199
CA16;País Vasco;PR48;Bizkaia;1;Privada;2.230
CA17;Rioja, La;PR26;La Rioja;1;Privada;573
CA18;Ceuta;PR51;Ceuta;1;Privada;54
CA19;Melilla;PR52;Melilla;1;Privada;116
CA01;Andalucía;PR04;Almería;2;Pública;2.370
CA01;Andalucía;PR11;Cádiz;2;Pública;2.692
CA01;Andalucía;PR14;Córdoba;2;Pública;1.829
CA01;Andalucía;PR18;Granada;2;Pública;2.884
CA01;Andalucía;PR21;Huelva;2;Pública;2.134
CA01;Andalucía;PR23;Jaén;2;Pública;1.725
CA01;Andalucía;PR29;Málaga;2;Pública;3.014
CA01;Andalucía;PR41;Sevilla;2;Pública;4.787
CA02;Aragón;PR22;Huesca;2;Pública;900
CA02;Aragón;PR44;Teruel;2;Pública;428
CA02;Aragón;PR50;Zaragoza;2;Pública;2.506
CA03;Asturias, Principado de;PR33;Asturias;2;Pública;1.860
CA04;Balears, Illes;PR07;Baleares;2;Pública;2.847
CA05;Canarias;PR35;Las Palmas;2;Pública;1.358
CA05;Canarias;PR38;Santa Cruz de Tenerife;2;Pública;1.341
CA06;Cantabria;PR39;Cantabria;2;Pública;2.792
CA07;Castilla y León;PR05;Ávila;2;Pública;304
CA07;Castilla y León;PR09;Burgos;2;Pública;481
CA07;Castilla y León;PR24;León;2;Pública;520
CA07;Castilla y León;PR34;Palencia;2;Pública;354
CA07;Castilla y León;PR37;Salamanca;2;Pública;601
CA07;Castilla y León;PR40;Segovia;2;Pública;185
CA07;Castilla y León;PR42;Soria;2;Pública;297
CA07;Castilla y León;PR47;Valladolid;2;Pública;1.103
CA07;Castilla y León;PR49;Zamora;2;Pública;237
CA08;Castilla-La Mancha;PR02;Albacete;2;Pública;1.349
